geometry_id,mesh_id,clscale,clmax,mesh_filepath
spheroid_rx_0.746_rz_6.651,spheroid_rx_0.746_rz_6.651_NTheta_0,,,
spheroid_rx_6.418_rz_0.669,spheroid_rx_6.418_rz_0.669_NTheta_0,,,
spheroid_rx_6.684_rz_4.773,spheroid_rx_6.684_rz_4.773_NTheta_0,,,
spheroid_rx_4.088_rz_0.839,spheroid_rx_4.088_rz_0.839_NTheta_0,,,
spheroid_rx_6.025_rz_6.225,spheroid_rx_6.025_rz_6.225_NTheta_0,,,
spheroid_rx_2.585_rz_2.333,spheroid_rx_2.585_rz_2.333_NTheta_0,,,
spheroid_rx_6.857_rz_7.843,spheroid_rx_6.857_rz_7.843_NTheta_0,,,
spheroid_rx_7.623_rz_1.227,spheroid_rx_7.623_rz_1.227_NTheta_0,,,
spheroid_rx_3.193_rz_8.8,spheroid_rx_3.193_rz_8.8_NTheta_0,,,
spheroid_rx_5.425_rz_4.963,spheroid_rx_5.425_rz_4.963_NTheta_0,,,
spheroid_rx_6.622_rz_2.5,spheroid_rx_6.622_rz_2.5_NTheta_0,,,
spheroid_rx_9.769_rz_5.101,spheroid_rx_9.769_rz_5.101_NTheta_0,,,
spheroid_rx_0.507_rz_1.414,spheroid_rx_0.507_rz_1.414_NTheta_0,,,
spheroid_rx_9.403_rz_5.932,spheroid_rx_9.403_rz_5.932_NTheta_0,,,
spheroid_rx_9.957_rz_8.882,spheroid_rx_9.957_rz_8.882_NTheta_0,,,
spheroid_rx_3.26_rz_6.183,spheroid_rx_3.26_rz_6.183_NTheta_0,,,
spheroid_rx_7.999_rz_1.472,spheroid_rx_7.999_rz_1.472_NTheta_0,,,
spheroid_rx_8.43_rz_4.697,spheroid_rx_8.43_rz_4.697_NTheta_0,,,
spheroid_rx_0.806_rz_5.372,spheroid_rx_0.806_rz_5.372_NTheta_0,,,
spheroid_rx_5.433_rz_8.202,spheroid_rx_5.433_rz_8.202_NTheta_0,,,
spheroid_rx_6.357_rz_7.444,spheroid_rx_6.357_rz_7.444_NTheta_0,,,
spheroid_rx_0.626_rz_9.513,spheroid_rx_0.626_rz_9.513_NTheta_0,,,
spheroid_rx_5.031_rz_6.745,spheroid_rx_5.031_rz_6.745_NTheta_0,,,
spheroid_rx_3.442_rz_4.174,spheroid_rx_3.442_rz_4.174_NTheta_0,,,
spheroid_rx_9.282_rz_3.115,spheroid_rx_9.282_rz_3.115_NTheta_0,,,
spheroid_rx_0.439_rz_5.053,spheroid_rx_0.439_rz_5.053_NTheta_0,,,
spheroid_rx_1.013_rz_0.154,spheroid_rx_1.013_rz_0.154_NTheta_0,,,
spheroid_rx_1.004_rz_8.376,spheroid_rx_1.004_rz_8.376_NTheta_0,,,
spheroid_rx_8.184_rz_7.964,spheroid_rx_8.184_rz_7.964_NTheta_0,,,
spheroid_rx_0.766_rz_5.948,spheroid_rx_0.766_rz_5.948_NTheta_0,,,
spheroid_rx_4.23_rz_0.305,spheroid_rx_4.23_rz_0.305_NTheta_0,,,
