simulation_id,simulation_type,mesh_id,material_surr,material_particle,simulation_result_filepath,tolerance,start_times,end_times,RelOrient_id
sphere/D_0.07//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.07//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_0.01_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.07//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,sphere/D_0.07//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_0.01_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.04//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/neq//clscale_0.5_clmax_0.01_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.04//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_0.01_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.04//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,sphere/D_0.04//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_0.01_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.111//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.111//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.111//CONST_EPS_1/Au/neq//clscale_0.5_clmax_0.01_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.111//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.111//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.111//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_0.01_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.111//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/tmatrix/tol_1e-05,tmatrix,sphere/D_0.111//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.111//CONST_EPS_1/Au/tmatrix//clscale_0.5_clmax_0.01_tol_1e-05.tmatrix/Lmax_2.TMatrix,1e-05,To be coded,To be coded,
sphere/D_0.0111//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/neq/tol_1e-05,neq,sphere/D_0.0111//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.0111//CONST_EPS_1/Au/neq//clscale_0.5_clmax_0.01_tol_1e-05.neq.SIFlux.EMTPFT,1e-05,To be coded,To be coded,
sphere/D_0.0111//clscale_0.5_clmax_0.01/CONST_EPS_1/Au/scatter/tol_1e-05,scatter,sphere/D_0.0111//clscale_0.5_clmax_0.01,CONST_EPS_1,Au,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.0111//CONST_EPS_1/Au/scatter//clscale_0.5_clmax_0.01_tol_1e-05.scatter.EMTPFT,1e-05,To be coded,To be coded,
